date ,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated travellers,Saskatchewan,Yukon
2020-01-31,,1,,,,,,,3,,,,,
2020-02-08,,4,,,,,,,3,,,,,
2020-02-16,,5,,,,,,,3,,,,,
2020-02-21,,6,,,,,,,3,,,,,
2020-02-24,,6,,,,,,,4,,,,,
2020-02-25,,7,,,,,,,4,,,,,
2020-02-26,,7,,,,,,,5,,,,,
2020-02-27,,7,,,,,,,6,,,,,
2020-02-29,,7,,,,,,,8,,,,,
2020-03-01,,8,,,,,,,15,,1,,,
2020-03-03,,12,,,,,,,20,,1,,,
2020-03-05,,21,,,,,,,22,,2,,,
2020-03-06,,21,,,,,,,28,,2,,,
2020-03-07,,27,,,,,,,28,,2,,,
2020-03-08,1,27,,,,,,,31,,3,,,
2020-03-09,7,32,,,,,,,34,,4,,,
2020-03-11,14,39,0,0,0,0,0,0,42,0,7,1,0,0
2020-03-12,19,46,1,1,0,0,0,0,59,0,13,1,1,0
2020-03-13,23,53,3,1,0,0,0,0,79,0,17,2,1,0
2020-03-14,29,64,4,2,0,0,0,0,79,0,17,2,2,0
2020-03-15,39,73,4,2,1,0,0,0,103,1,24,4,2,0
2020-03-16,56,73,7,6,1,0,3,0,145,1,39,4,6,0
2020-03-17,74,103,7,7,1,0,5,0,177,1,50,8,7,0
2020-03-18,97,186,15,8,3,0,7,0,189,1,74,9,8,0
2020-03-19,146,271,17,11,3,0,14,0,258,2,121,10,20,0
2020-03-20,195,271,17,11,4,0,15,0,311,2,139,13,26,0
2020-03-21,226,424,19,17,6,1,21,0,377,2,221,13,44,0
2020-03-22,259,424,19,17,9,1,28,0,425,3,221,13,52,0
2020-03-23,301,472,20,17,24,1,41,0,503,3,628,13,66,2
2020-03-24,358,617,21,18,35,1,51,0,588,3,1013,13,72,2
2020-03-25,419,659,35,26,67,1,68,0,688,5,1339,13,86,3
2020-03-26,486,725,36,33,82,1,73,0,858,9,1629,13,95,3
2020-03-27,542,725,39,45,102,1,90,0,993,11,2021,13,104,3
2020-03-28,542,884,64,51,120,1,110,0,993,11,2498,13,134,4
2020-03-29,621,884,72,66,135,1,122,0,1355,11,2840,13,134,4
2020-03-30,690,960,96,68,148,1,127,0,1706,18,3430,13,175,5
2020-03-31,754,970,103,70,152,1,147,0,1966,21,4162,13,184,5
2020-04-01,754,1066,127,81,175,2,173,0,2392,21,4611,13,193,5
2020-04-02,968,1121,167,91,183,2,193,0,2793,22,5518,13,206,6
2020-04-03,1075,1174,182,95,183,4,207,0,3255,22,6101,13,220,6
2020-04-04,1075,1203,194,98,195,4,236,0,3630,22,6997,13,231,6
2020-04-05,1250,1203,203,101,217,4,262,0,4038,22,7944,13,249,6
2020-04-06,1348,1266,204,103,226,5,293,0,4347,22,8580,13,253,7
2020-04-07,1373,1291,217,105,228,5,310,0,4726,22,9340,13,260,7
2020-04-08,1423,1336,221,108,232,5,342,0,5276,24,10031,13,271,7
2020-04-09,1451,1370,224,111,236,5,373,0,5759,25,10912,13,278,8
2020-04-10,1500,1410,230,112,239,5,407,0,6237,25,11677,13,285,8
2020-04-11,1569,1445,243,112,241,5,428,0,6648,25,12292,13,289,8
2020-04-12,1651,1445,242,114,242,5,445,0,7049,25,12846,13,298,8
2020-04-13,1732,1490,246,116,244,5,474,0,7470,25,13557,13,300,8
2020-04-14,1870,1517,246,116,244,5,517,0,7953,25,14248,13,301,8
2020-04-15,1996,1561,246,117,247,5,549,0,8447,26,14860,13,304,8
2020-04-16,2158,1561,250,117,252,5,579,0,8961,26,15857,13,305,8
2020-04-17,2397,1575,250,117,256,5,606,0,9525,26,16798,13,307,9
2020-04-18,2562,1618,253,118,257,5,649,0,10010,26,17521,13,313,9
2020-04-19,2562,1618,253,118,257,5,675,0,10578,26,18357,13,315,9
2020-04-20,2908,1699,254,118,257,5,721,0,11184,26,19319,13,316,11
2020-04-21,3095,1724,255,118,257,5,737,0,11735,26,20126,13,320,11
2020-04-22,3401,1795,257,118,256,5,772,0,12245,26,20965,13,326,11
2020-04-23,3720,1824,262,118,256,5,827,0,12879,26,21838,13,331,11
2020-04-24,4017,1853,263,118,256,5,850,0,13519,26,22616,13,341,11
2020-04-25,4233,1948,267,118,257,5,865,0,13995,26,23267,13,349,11
2020-04-26,4480,1948,271,118,258,5,873,0,14432,26,24107,13,353,11
2020-04-27,4696,1998,272,118,258,5,900,0,14856,26,24982,13,365,11
2020-04-28,4850,2053,272,118,258,5,915,0,15381,27,25757,13,366,11
2020-04-29,5165,2087,273,118,258,5,935,0,15728,27,26594,13,383,11
2020-04-30,5355,2112,275,118,258,5,947,0,16187,27,27538,13,389,11
2020-05-01,5573,2145,279,118,259,5,959,0,16608,27,28648,13,415,11
2020-05-02,5670,2171,280,118,259,5,963,0,17119,27,29656,13,421,11
2020-05-03,5766,2171,281,118,259,5,971,0,17553,27,31865,13,433,11
2020-05-04,5836,2224,281,118,259,5,985,0,17923,27,32623,13,467,11
2020-05-05,5893,2232,282,119,259,5,991,0,18310,27,33417,13,487,11
2020-05-06,5963,2255,284,120,259,5,998,0,18722,27,34327,13,512,11
2020-05-07,6017,2288,283,120,261,5,1007,0,19121,27,35238,13,531,11
2020-05-08,6098,2315,284,120,261,5,1008,0,19598,27,36150,13,544,11
2020-05-09,6157,2330,284,120,261,5,1011,0,19944,27,36986,13,553,11
2020-05-10,6253,2330,287,120,261,5,1018,0,20238,27,37721,13,564,11
2020-05-11,6300,2353,289,120,261,5,1019,0,20546,27,38469,13,568,11
2020-05-12,6345,2360,290,120,261,5,1020,0,20907,27,39225,13,573,11
2020-05-13,6407,2376,290,120,261,5,1024,0,21236,27,39931,13,577,11
2020-05-14,6457,2392,289,120,261,5,1026,0,21581,27,40724,13,582,11
2020-05-15,6515,2407,289,120,260,5,1034,0,21922,27,41420,13,590,11
2020-05-16,6587,2428,289,120,260,5,1037,0,22313,27,42183,13,591,11
2020-05-17,6644,2428,289,120,260,5,1040,0,22653,27,42920,13,592,11
2020-05-18,6683,2444,290,120,260,5,1043,0,22957,27,43627,13,592,11
2020-05-19,6716,2446,290,120,260,5,1044,0,23384,27,44197,13,599,11
2020-05-20,6716,2467,290,120,260,5,1045,0,23774,27,44775,13,620,11
2020-05-21,6768,2479,290,121,260,5,1046,0,24187,27,45495,13,622,11
2020-05-22,6800,2507,292,121,260,5,1048,0,24628,27,46141,13,627,11
2020-05-23,6818,2517,292,121,260,5,1049,0,25040,27,46838,13,630,11
2020-05-24,6860,2517,292,121,260,5,1050,0,25500,27,47411,13,632,11
2020-05-25,6879,2530,292,121,260,5,1051,0,25904,27,47984,13,634,11
2020-05-26,6901,2541,292,122,260,5,1052,0,26191,27,48598,13,634,11
2020-05-27,6926,2550,292,123,260,5,1053,0,26483,27,49139,13,637,11
2020-05-28,6955,2558,294,126,261,5,1055,0,26866,27,49702,13,639,11
2020-05-29,6979,2562,294,128,261,5,1055,0,27210,27,50232,13,641,11
2020-05-30,6992,2573,294,129,261,5,1056,0,27533,27,50651,13,645,11
2020-05-31,6992,2573,294,129,261,5,1056,0,27859,27,50651,13,645,11
